DATE,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
20190523,0.0090,-1.3682,-0.7868,0.0704,-0.0052,0.1466
20190524,0.0090,0.2308,0.4897,-0.0385,-0.1734,-0.3493
20190528,0.0090,-0.7800,0.3487,-0.3644,0.3919,0.4943
20190529,0.0090,-0.7070,-0.3495,-0.0541,-0.1995,0.0835
20190530,0.0090,0.1438,-0.3824,-0.2205,0.2144,0.3900
20190531,0.0090,-1.3757,-0.4032,0.3927,-0.2102,-0.0685
20190603,0.0093,-0.3975,0.5404,1.4952,0.2464,-1.0312
20190604,0.0093,2.3223,0.5547,-0.5400,-0.1860,-0.0341
20190605,0.0093,0.6961,-0.9370,-0.4439,0.5977,0.6224
20190606,0.0093,0.5518,-1.1105,0.1341,0.1364,0.3221
20190607,0.0093,1.0416,-0.1013,-0.6742,0.3656,0.3211
20190610,0.0093,0.5364,-0.1525,-0.1533,-0.1179,0.3899
20190611,0.0093,-0.1183,-0.0802,0.3780,0.5990,0.3214
20190612,0.0093,-0.2027,0.2753,-0.1192,0.3054,0.1586
20190613,0.0093,0.5179,0.4093,-0.0837,-0.6773,-0.7241
20190614,0.0093,-0.2747,-0.6158,-0.0329,0.5480,0.1752
20190617,0.0093,0.1474,0.1453,-0.6349,-1.1636,-0.3384
20190618,0.0093,1.0391,0.0928,-0.0136,-0.3880,-0.1584
20190619,0.0093,0.3181,-0.1180,0.1150,-0.0871,0.2033
20190620,0.0093,0.8952,-0.4864,0.0262,-0.1446,-0.0348
20190621,0.0093,-0.2117,-0.4018,0.0245,0.2118,0.1601
20190624,0.0093,-0.3451,-0.6506,-0.0499,0.7857,0.2892
20190625,0.0093,-0.9769,0.3688,0.7994,0.1366,-0.2473
20190626,0.0093,-0.0625,-0.1616,-0.0366,-0.2278,0.0439
20190627,0.0093,0.5952,1.3862,-0.5176,-0.4704,-0.3537
20190628,0.0093,0.6777,0.6779,0.0306,-0.6444,-0.4905
20190701,0.0081,0.7430,-0.5681,-0.0368,0.0010,0.3761
20190702,0.0081,0.1372,-0.8663,-0.2364,0.4023,0.2379
20190703,0.0081,0.7845,-0.2478,-0.2043,-0.3108,-0.1557
20190705,0.0081,-0.0997,0.3348,0.1406,-0.0406,-0.1300
20190708,0.0081,-0.5804,-0.2467,-0.2698,0.2555,-0.1121
20190709,0.0081,0.1857,-0.3918,-0.3404,-0.4169,0.4851
