DATE,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
20200626,0.0005,-2.4351,-0.3264,0.2183,0.5312,0.4403
20200629,0.0005,1.5084,1.3204,0.3468,1.0546,-0.7228
20200630,0.0005,1.5801,-0.0852,-0.0641,0.2258,0.6822
20200701,0.0004,0.4096,-1.3094,-1.3659,0.0324,0.8821
20200702,0.0004,0.4942,0.2258,0.2487,0.2404,0.3592
20200706,0.0004,1.6465,-0.4586,-0.0456,0.2302,0.1938
20200707,0.0004,-1.0243,-0.6648,-0.4927,0.2541,0.4253
20200708,0.0004,0.9141,-0.0822,-0.5515,-0.4020,-0.1499
20200709,0.0004,-0.5329,-1.1990,-0.8962,0.9401,1.7874
20200710,0.0004,1.1074,0.5902,0.5075,0.0352,-0.7957
20200713,0.0004,-1.1955,-0.2416,1.3651,0.6692,-0.2422
20200714,0.0004,1.3535,0.7066,0.5983,-0.2197,-0.5396
20200715,0.0004,1.1425,1.9855,0.4672,-1.7750,-2.0550
20200716,0.0004,-0.3737,-0.1126,0.1677,0.1346,-0.2895
20200717,0.0004,0.2932,0.0254,-0.2383,-0.4061,0.1438
20200720,0.0004,1.0157,-0.6477,-1.6104,0.9901,2.0994
20200721,0.0004,0.1565,0.8701,1.2907,-0.8050,-1.9135
20200722,0.0004,0.4944,-0.3683,-0.1807,0.4322,0.0215
20200723,0.0004,-1.2045,1.2669,0.2698,-0.2275,-1.1231
20200724,0.0004,-0.7471,-0.7528,-0.1977,0.5030,0.2497
20200727,0.0004,0.8817,0.6761,0.0060,0.6449,1.0146
20200728,0.0004,-0.8129,-0.5194,0.0270,0.1704,-0.5585
20200729,0.0004,1.3528,0.6949,0.1605,0.0238,-0.1087
20200730,0.0004,-0.2942,-0.0233,-0.8225,-0.1439,0.6004
20200731,0.0004,0.6133,-1.7188,0.0320,1.8478,1.2580
20200803,0.0004,0.9801,1.2753,0.3782,-0.3010,0.0531
20200804,0.0004,0.3715,0.3514,0.1583,-0.6435,-0.8115
20200805,0.0004,0.7793,1.0149,0.2299,-0.3648,-1.0321
20200806,0.0004,0.5265,-0.4657,-0.2643,0.9582,-0.0408
20200807,0.0004,0.0200,1.5746,0.5897,-0.3350,-1.0612
20200810,0.0004,0.2354,0.6584,1.4008,-1.4797,-1.7682
20200811,0.0004,-0.8327,0.0187,0.1979,-0.1734,-0.6563
20200812,0.0004,1.3987,-0.7987,-0.4828,1.0403,1.0904
20200813,0.0004,-0.0128,-0.0928,-0.7008,-0.0315,0.3307
20200814,0.0004,-0.0420,-0.0863,0.3764,-0.0350,-0.5851
20200817,0.0004,0.4466,0.2116,-0.4564,0.3206,0.5823
20200818,0.0004,0.2237,-1.1476,-0.6832,0.6301,1.0414
20200819,0.0004,-0.3738,0.4696,-0.2751,0.2999,0.0754
20200820,0.0004,0.3103,-0.8256,-0.7334,0.5973,1.3014
20200821,0.0004,0.2517,-1.1572,0.1687,0.8726,0.7464
20200824,0.0004,0.9222,-0.1537,0.5797,-0.5130,-1.4485
20200825,0.0004,0.3527,0.0014,-0.6814,-0.3674,0.2702
20200826,0.0004,0.9999,-1.4817,-1.3219,0.6204,1.3630
20200827,0.0004,0.1780,-0.2404,-0.6584,-0.4930,-0.7980
20200828,0.0004,0.6962,0.2261,0.1355,-1.1692,-1.0289
20200831,0.0004,-0.0403,-1.2222,-0.7264,-0.1202,0.7358
20200901,0.0004,0.9200,0.3776,-0.0750,1.1316,1.0014
20200902,0.0004,1.2743,-0.1041,-0.1790,0.3367,0.1815
20200903,0.0004,-3.6974,0.0525,0.4324,-1.0945,-1.5496
20200904,0.0004,-0.8734,-0.0468,0.9248,-0.2235,-0.9974
20200908,0.0004,-2.9085,0.8704,-0.1915,-0.9966,-1.0618
20200909,0.0004,2.0670,-0.1908,-0.5313,0.9837,1.3280
20200910,0.0004,-1.6368,0.4991,-0.5091,-0.0833,0.1406
20200911,0.0004,-0.0571,-0.3932,0.4481,-0.0557,-0.1806
20200914,0.0004,1.5893,0.7409,-0.1305,-1.3546,-0.8765
20200915,0.0004,0.5672,-0.5994,-0.9435,-0.0465,0.4608
20200916,0.0004,-0.3935,1.0744,0.8308,-1.5455,-1.6086
20200917,0.0004,-0.8458,0.3449,0.8657,-0.3496,-0.4646
20200918,0.0004,-0.8850,0.9240,-0.3517,-0.4780,-0.1759
20200921,0.0004,-1.0826,-2.2249,-1.2025,1.7765,2.4528
20200922,0.0004,1.0073,-0.2606,-0.7410,0.9077,0.4083
20200923,0.0004,-2.4778,-0.8697,-0.2353,0.1458,0.2127
20200924,0.0004,0.2522,-0.1435,0.1080,1.3388,0.8080
20200925,0.0004,1.7147,-0.2530,-0.9915,-0.2847,0.2354
20200928,0.0004,1.6579,0.8974,0.3524,0.2761,-0.3565
20200929,0.0004,-0.4215,0.4623,-0.6345,0.4599,0.9402
20200930,0.0004,0.7948,-0.5270,0.1369,0.3581,-0.0121
20201001,0.0003,0.7915,0.8343,-0.5710,0.2143,0.2268
20201002,0.0003,-0.9614,1.2443,0.6684,-0.6104,-1.2831
20201005,0.0003,1.9302,0.8252,0.3859,-0.2075,0.1086
20201006,0.0003,-1.2797,0.8048,-0.2123,-0.1110,0.2447
20201007,0.0003,1.8396,0.3468,0.2864,-0.7671,-0.7003
20201008,0.0003,0.7972,0.1165,0.4335,-0.4785,-0.7958
20201009,0.0003,0.9257,-0.1325,-0.5868,0.6064,1.0405
20201012,0.0003,1.5344,-0.9269,0.1400,1.2729,1.3014
20201013,0.0003,-0.4127,-0.0526,-0.9652,-0.3037,0.5679
20201014,0.0003,-0.6539,-0.1004,0.6360,-0.0255,-0.5956
20201015,0.0003,-0.0783,0.8994,0.3030,-0.3398,-0.5114
20201016,0.0003,-0.0636,-0.0832,-0.0531,-0.1510,0.0508
20201019,0.0003,-1.5295,0.1908,-0.1841,-0.4483,-0.4003
20201020,0.0003,0.3438,-0.2220,0.2404,0.3052,-0.3703
20201021,0.0003,-0.3567,-0.6560,-0.0922,-0.0321,0.3894
20201022,0.0003,0.6649,0.1973,0.4493,-2.4130,-1.3617
20201023,0.0003,0.3803,0.2696,-0.3866,-0.2167,-0.1347
20201026,0.0003,-1.8511,-0.3887,-0.4215,1.0018,1.2033
20201027,0.0003,-0.2347,-0.5044,-0.8802,0.4390,1.2585
20201028,0.0003,-3.4161,0.2209,-0.3079,0.3415,0.6157
20201029,0.0003,1.1291,-0.1141,0.3596,-0.6865,-0.3960
20201030,0.0003,-1.4542,-0.1760,0.4087,-0.0806,-0.4178
20201102,0.0003,1.1664,1.0718,0.7590,0.5315,-0.4142
20201103,0.0003,1.9331,0.9244,-0.2314,-0.6062,-0.4659
20201104,0.0003,2.2473,-2.0743,-1.7655,0.3203,1.6153
20201105,0.0003,2.1302,1.1202,0.5155,0.1597,0.0624
20201106,0.0003,0.0078,-1.0029,-0.1907,-0.0715,0.6887
20201109,0.0003,0.8650,0.2350,1.9352,-6.8182,-6.5047
20201110,0.0003,-0.1656,1.8230,1.5043,-0.1682,-1.3124
20201111,0.0003,0.8818,-0.3707,-0.7502,1.1046,1.6614
20201112,0.0003,-0.9425,-0.6243,-0.3969,-0.0816,0.9388
20201113,0.0003,1.3111,0.5383,0.7772,-1.0608,-1.6145
20201116,0.0003,1.2232,0.6842,1.1316,-0.8478,-1.4636
20201117,0.0003,-0.1881,0.5744,-0.4346,-0.5059,-0.2537
20201118,0.0003,-0.9332,0.0403,-0.4181,-0.2906,-0.0767
20201119,0.0003,0.5837,0.1684,-0.3636,-0.4431,0.1654
20201120,0.0003,-0.5077,0.4328,0.1668,-0.2767,0.3423
20201123,0.0003,0.8244,1.0950,0.6718,-2.0196,-2.3600
20201124,0.0003,1.5629,0.1657,0.9081,-0.9386,-1.4771
20201125,0.0003,0.0264,-0.1170,-0.7436,-0.2742,0.6182
20201127,0.0003,0.4260,0.2512,-0.2350,-0.3850,0.6659
20201130,0.0003,-0.5284,-1.3468,-0.1413,0.4585,0.7042
20201201,0.0003,0.9824,-0.1835,0.0251,0.6207,0.3898
20201202,0.0003,0.1123,-0.2027,0.7803,-1.0948,-0.9078
20201203,0.0003,0.1768,0.1318,0.4069,-0.5698,-0.5740
20201204,0.0003,1.0142,1.0428,1.0514,-1.7358,-1.2969
20201207,0.0003,0.0323,0.0334,-0.7502,0.2316,0.5016
20201208,0.0003,0.4778,0.4259,0.0419,-1.2302,-0.4658
20201209,0.0003,-1.0325,0.1966,0.4781,0.1582,-0.9040
20201210,0.0003,0.2369,0.5338,-0.5970,-1.8944,-0.6398
20201211,0.0003,-0.1842,-0.8250,-1.0677,-0.0412,0.5442
20201214,0.0003,-0.2576,0.5876,-0.9023,0.6848,1.4893
20201215,0.0003,1.2837,1.0918,0.3039,0.7983,-0.1489
20201216,0.0003,0.1638,-0.3152,-0.3180,0.3359,0.2285
20201217,0.0003,0.7821,0.6186,-0.4938,-0.5038,-0.1835
20201218,0.0003,-0.1396,-0.2444,-0.9686,-0.0781,0.5623
20201221,0.0003,-0.2287,0.9853,0.1152,-0.3345,0.0470
20201222,0.0003,0.0618,1.2263,-0.6221,0.0547,0.4483
20201223,0.0003,0.1129,0.5829,0.8029,-1.1858,-1.2574
20201224,0.0003,0.2176,-0.2072,-0.3242,0.9400,0.3959
20201228,0.0003,0.4809,-0.5103,-0.0257,1.0050,0.8209
20201229,0.0003,-0.3899,-1.3743,-0.1712,0.5041,0.2066
20201230,0.0003,0.2755,0.9788,0.0277,-1.1711,-0.7599
20201231,0.0003,0.3886,-0.5541,-0.2805,0.5533,0.5295
20210104,0.0002,-1.4083,0.4014,0.4060,-0.1839,-0.6163
20210105,0.0002,0.8633,1.0506,0.6855,-0.6704,-0.6887
20210106,0.0002,0.7895,3.1246,1.3431,-0.3224,-1.8810
20210107,0.0002,1.7643,0.1256,-0.6301,-0.7847,-0.2646
20210108,0.0002,0.5112,-1.1680,-0.8643,-0.3897,0.2919
20210111,0.0002,-0.5139,0.4120,0.6988,-0.4606,-1.0008
20210112,0.0002,0.3817,1.4646,0.6046,-1.0650,-1.0968
20210113,0.0002,0.0723,-0.8087,-0.1508,0.3093,0.2241
20210114,0.0002,-0.1123,2.3001,0.7812,-1.3862,-1.3535
20210115,0.0002,-0.8638,-0.8329,-0.6604,1.0474,0.9118
20210119,0.0002,0.9190,0.7569,0.2547,-0.3809,-0.2396
20210120,0.0002,1.2659,-0.7377,-0.3792,1.1179,0.6929
20210121,0.0002,-0.0362,-0.1000,0.1594,1.8073,0.7009
20210122,0.0002,-0.0718,1.5069,0.2918,-0.1523,-0.2718
20210125,0.0002,0.2871,-0.1579,0.6901,0.3514,0.0204
20210126,0.0002,-0.3182,0.4484,1.5453,1.2447,-0.1199
20210127,0.0002,-2.5318,1.2339,2.6210,-0.9185,-1.6660
20210128,0.0002,0.9209,-1.9014,-1.9703,-0.5587,0.7010
20210129,0.0002,-1.8383,0.6852,0.4337,-0.5560,-0.9734
20210201,0.0002,1.7296,1.0955,-1.5564,0.4784,0.6231
20210202,0.0002,1.4787,-0.8565,-2.3281,-0.6414,-0.0647
20210203,0.0002,0.1546,0.7421,0.6934,-0.9095,-1.6112
20210204,0.0002,1.2285,0.6852,-0.4507,-0.2914,0.0687
20210205,0.0002,0.5733,1.0215,0.2879,-0.4379,-0.2560
20210208,0.0002,0.9598,2.1721,0.7552,-1.6167,-1.2930
20210209,0.0002,0.0493,1.0852,-0.3739,0.1437,0.4387
20210210,0.0002,-0.0773,-0.4540,-0.0033,-0.5006,-0.9906
20210211,0.0002,0.1957,-0.1553,-0.1380,0.7454,1.2771
20210212,0.0002,0.4898,-0.1979,0.0303,-0.7264,-0.4279
20210216,0.0002,-0.1451,-0.3895,0.3276,-0.7404,-1.1090
20210217,0.0002,-0.2044,-0.8959,0.1073,-0.2190,-0.4849
20210218,0.0002,-0.6336,-1.5152,-0.6993,0.7428,1.2581
20210219,0.0002,0.1632,1.8937,0.6582,-1.2909,-1.1080
20210222,0.0002,-1.1287,0.2563,1.2561,-0.9426,-1.6068
20210223,0.0002,-0.1420,-1.2872,0.1159,0.4793,0.2217
20210224,0.0002,1.1494,1.5832,0.6554,-1.2037,-1.1020
20210225,0.0002,-2.7370,-1.0635,0.6630,0.5062,0.5642
20210226,0.0002,-0.2801,0.6755,-0.6668,0.4818,0.1508
20210301,0.0001,2.6272,1.4673,0.2308,0.5611,-0.1493
20210302,0.0001,-1.0543,-0.7380,0.3842,-0.0845,-0.7769
20210303,0.0001,-1.5708,0.3750,1.4582,0.1092,-1.0111
20210304,0.0001,-1.6956,-1.4839,0.5686,-0.0339,-0.1563
20210305,0.0001,1.8517,0.2233,0.8764,0.5021,0.0363
20210308,0.0001,-0.6735,1.3973,1.1820,-0.2136,-1.7040
20210309,0.0001,1.7935,0.6457,-0.6956,-0.2081,0.9518
20210310,0.0001,0.6765,1.3451,0.5774,-0.6741,-1.1140
20210311,0.0001,1.4314,1.0825,-0.7461,-0.4870,0.4004
20210312,0.0001,0.1119,0.3853,0.6018,-0.2378,-0.8182
20210315,0.0001,0.6915,-0.1520,-0.1821,0.5769,-0.1525
20210316,0.0001,-0.4205,-1.4716,-0.1567,1.2728,1.5765
20210317,0.0001,0.3475,0.9547,0.2024,-0.0097,-0.4173
20210318,0.0001,-1.8724,-0.7982,0.4074,1.2885,0.2329
20210319,0.0001,0.2412,0.7605,-0.5016,-0.3494,-0.1555
20210322,0.0001,0.5521,-1.5981,-0.4762,0.8114,1.0740
20210323,0.0001,-1.1740,-3.1204,-1.0469,0.7340,1.2176
20210324,0.0001,-0.9926,-1.9685,0.5750,0.1669,-0.2290
20210325,0.0001,0.6740,2.0472,1.0913,-0.6696,-1.1061
20210326,0.0001,1.5481,0.3425,0.8613,0.9603,0.3070
20210329,0.0001,-0.4993,-2.6214,-0.1566,0.5093,0.7888
20210330,0.0001,-0.0313,2.0553,-0.1857,-0.1358,-0.8893
20210331,0.0001,0.6261,0.7073,-0.2057,-0.1172,0.5153
20210401,0.0001,1.2708,0.4680,-0.4407,-0.0687,0.2985
20210405,0.0001,1.2685,-0.4933,-0.3512,1.3188,1.0011
20210406,0.0001,0.0140,-0.3879,-0.4049,0.2131,-0.2337
20210407,0.0001,-0.1191,-1.5407,-0.0585,0.5168,0.3691
20210408,0.0001,0.6202,0.2779,-0.7813,0.2757,0.5090
20210409,0.0001,0.6473,-0.5148,-0.1466,1.0021,0.5616
20210412,0.0001,-0.0535,-0.5317,-0.6335,0.7412,0.6441
20210413,0.0001,0.4115,-0.8421,-0.7456,-0.3613,0.6274
20210414,0.0001,-0.3467,1.1087,1.3121,-0.8523,-0.8689
20210415,0.0001,1.0453,-0.8894,-0.8912,0.4187,0.9266
20210416,0.0001,0.2676,-0.2314,0.2665,0.7117,0.1874
20210419,0.0001,-0.7292,-0.6823,0.4381,0.1805,-0.0833
20210420,0.0001,-0.9347,-1.4490,-0.7014,0.3034,0.5467
20210421,0.0001,1.1130,1.6095,0.3713,-0.7713,-0.8451
20210422,0.0001,-0.7700,0.5858,-0.3109,-0.5896,-0.5054
20210423,0.0001,1.2628,0.7353,0.1471,0.1363,0.1967
20210426,0.0001,0.4218,0.9817,0.0504,-0.8903,-0.3106
20210427,0.0001,-0.0253,0.0759,0.2894,-0.1071,-0.3919
20210428,0.0001,-0.0653,0.1586,-0.0895,-1.0386,-0.6430
20210429,0.0001,0.3892,-0.5586,0.0636,0.9043,0.0800
20210430,0.0001,-0.8258,-0.7190,-0.6175,0.0508,0.0090
20210503,0.0000,0.1735,1.0931,0.9693,0.8547,-0.1228
20210504,0.0000,-0.8902,-0.4183,1.0496,1.0623,-1.2879
20210505,0.0000,-0.0547,-0.0476,0.4804,0.6180,-0.5538
20210506,0.0000,0.4771,-0.0958,0.3862,1.6868,0.9302
20210507,0.0000,0.8374,0.4134,0.5351,-0.3718,-0.3831
20210510,0.0000,-1.3619,-1.3381,0.6837,0.3214,-0.5426
20210511,0.0000,-0.6271,0.5791,-0.0760,-0.6666,0.4138
20210512,0.0000,-2.3441,-1.2607,0.1977,-0.3864,-0.3188
20210513,0.0000,1.0246,0.3912,0.1609,1.9318,0.7511
20210514,0.0000,1.8067,0.9538,0.2401,-0.8021,-0.3605
20210517,0.0000,-0.2361,0.8880,1.2066,-0.0854,-0.9103
20210518,0.0000,-0.6856,-0.0526,-0.5178,-1.3427,-0.2275
20210519,0.0000,-0.3396,-0.6464,-0.5390,0.1690,0.7084
20210520,0.0000,1.1455,-0.7206,-0.5608,-0.3971,0.7231
20210521,0.0000,-0.0375,0.4775,-0.0193,-0.2099,-0.4585
20210524,0.0000,0.9941,-0.3855,-0.2535,0.2986,0.3374
20210525,0.0000,-0.3000,-0.7377,-0.2085,0.5363,0.6153
20210526,0.0000,0.4686,1.9110,0.5043,-0.0356,-0.3635
20210527,0.0000,0.2820,1.2499,0.5503,-0.2851,-0.8202
20210528,0.0000,0.0406,-0.5902,-0.3830,-0.3390,0.3456
20210601,0.0000,0.0334,1.5000,0.8316,-0.0278,-1.0884
20210602,0.0000,0.1219,-0.0469,0.8651,-0.3207,-0.6438
20210603,0.0000,-0.5313,-0.1696,0.4445,0.1443,-0.2026
20210604,0.0000,0.8980,-0.5788,-0.5071,0.1641,0.7014
20210607,0.0000,0.1530,1.0601,-0.1627,-0.6787,0.2180
20210608,0.0000,0.1886,1.0552,0.1572,-0.2473,-0.1378
20210609,0.0000,-0.2977,-0.4016,0.0162,-0.2555,0.4730
20210610,0.0000,0.3991,-2.0027,-1.4847,-1.1612,0.4633
20210611,0.0000,0.3701,0.8853,-0.0507,-0.1358,-0.0415
20210614,0.0000,0.1480,-0.8941,-0.7286,-0.1776,0.8177
20210615,0.0000,-0.3029,0.0524,0.4748,0.4819,-0.8173
20210616,0.0000,-0.4532,0.2952,-0.2096,-0.4679,0.1887
20210617,0.0000,0.0101,-1.4576,-1.7461,-0.0709,1.5365
20210618,0.0000,-1.2258,-0.7774,-1.0596,-0.2973,0.3551
20210621,0.0000,1.3476,0.6322,0.4429,-0.1222,-0.7071
20210622,0.0000,0.5819,0.2135,0.1752,0.9807,0.5888
20210623,0.0000,0.0091,0.6419,-0.3791,-0.4415,0.0946
20210624,0.0000,0.6871,0.8600,0.1891,-0.2585,-0.0897
20210625,0.0000,0.3193,-0.4534,0.2146,-0.2697,0.0277
20210628,0.0000,0.2102,-0.2720,-0.6559,0.8617,1.8490
20210629,0.0000,0.0010,-0.3790,0.0304,0.6352,0.7770
20210630,0.0000,0.0713,0.1973,0.7423,0.5139,-0.7912
20210701,0.0001,0.4270,0.5036,0.5346,0.0225,-0.2929
20210702,0.0001,0.5562,-1.5763,-0.2385,0.4977,0.6435
20210706,0.0001,-0.2771,-1.0618,-1.3016,0.4282,1.5129
20210707,0.0001,0.0944,-0.5423,0.3216,1.5508,0.5956
20210708,0.0001,-0.8574,-0.1330,-0.0169,-0.1266,-0.1056
20210709,0.0001,1.2513,1.1248,0.6537,0.0706,-0.1641
20210712,0.0001,0.2266,0.2818,-0.1183,0.7485,0.0922
20210713,0.0001,-0.5574,-1.0384,0.0330,0.8511,0.5180
20210714,0.0001,-0.2587,-0.8681,0.5776,2.0338,0.9508
20210715,0.0001,-0.3803,-0.2582,0.1179,0.3727,-0.1741
20210716,0.0001,-0.7673,-0.5633,-1.0880,0.0574,0.7641
20210719,0.0001,-1.4126,0.1535,-1.4821,0.0243,1.0555
20210720,0.0001,1.6944,0.8160,0.2377,-0.5052,-0.3369
20210721,0.0001,0.9501,0.6767,0.3886,-0.9311,-0.8430
20210722,0.0001,0.0910,-1.4910,-0.6454,0.7852,0.7542
20210723,0.0001,0.9787,-0.2389,-0.3464,0.8667,0.9515
20210726,0.0001,0.1815,0.2092,0.9238,0.2945,-0.5380
20210727,0.0001,-0.6618,-0.4793,0.2727,0.0936,-0.4265
20210728,0.0001,0.2719,0.8732,-0.7363,-1.3241,-0.2127
20210729,0.0001,0.4113,0.5431,0.3318,0.9909,0.0951
20210730,0.0001,-0.6527,0.0664,0.0456,0.6705,0.5417
20210802,0.0002,-0.1205,0.0890,-0.6407,0.5380,0.6569
20210803,0.0002,0.7246,-0.1604,0.3259,1.0734,0.7241
20210804,0.0002,-0.3918,-0.9985,-1.5479,0.1808,1.2355
20210805,0.0002,0.7407,0.8792,-0.3380,-1.0375,-0.6803
20210806,0.0002,0.0938,0.5471,0.8674,0.1041,-0.7469
20210809,0.0002,0.0079,-0.3507,-0.6720,-0.0893,0.1470
20210810,0.0002,0.0580,0.6903,1.2136,0.6668,-0.3156
20210811,0.0002,0.1913,0.3848,0.7362,0.5608,-0.2764
20210812,0.0002,0.2428,-0.6908,-0.1084,0.3296,0.4469
20210813,0.0002,0.0042,-1.0918,-0.0538,0.6230,0.4775
20210816,0.0002,-0.0490,-0.6393,0.1828,1.6602,0.9786
20210817,0.0002,-0.8035,-0.9260,0.0524,-0.7667,-0.4591
20210818,0.0002,-0.9530,0.0035,-0.5717,-0.3469,0.0759
20210819,0.0002,-0.1471,-1.0200,-0.7694,1.0181,1.4989
20210820,0.0002,0.9188,0.7174,-0.4743,-0.2814,0.2522
20210823,0.0002,1.0753,0.6988,-0.0952,-1.2545,-0.6211
20210824,0.0002,0.4062,0.4467,-0.0796,-0.7746,-0.5295
20210825,0.0002,0.2598,0.1685,0.1633,-0.3427,-0.2473
20210826,0.0002,-0.6474,-0.3708,-0.1994,0.0237,0.1555
20210827,0.0002,1.0731,1.5925,0.4001,-0.5760,-0.3975
20210830,0.0002,0.3456,-0.7621,-0.3354,0.5938,0.5806
20210831,0.0002,-0.1318,0.1684,-0.0355,-0.7572,-0.6948
20210901,0.0002,0.1077,0.3052,-0.5658,-0.2679,0.2463
20210902,0.0002,0.3594,0.1822,0.5757,-0.6029,-1.0102
20210903,0.0002,-0.0144,-0.5742,-0.2745,0.3942,0.6223
20210907,0.0002,-0.3607,-0.5351,0.2882,-0.1341,-0.0250
20210908,0.0002,-0.3401,-0.8209,0.2451,-0.2389,-0.1174
20210909,0.0002,-0.2729,0.3797,-0.0968,-0.2515,-0.2153
20210910,0.0002,-0.7573,0.1571,-0.1280,0.2049,-0.1470
20210913,0.0002,0.1373,0.2263,1.3148,-0.2693,-0.7593
20210914,0.0002,-0.6615,-0.7384,-0.6432,0.4919,0.9888
20210915,0.0002,0.8818,0.1631,0.6119,0.0343,-0.5042
20210916,0.0002,-0.0337,-0.0969,-0.7585,0.1176,0.1388
20210917,0.0002,-0.7276,0.8150,-0.8754,-0.8928,-0.3832
20210920,0.0002,-1.8614,-0.5714,0.2432,0.3397,0.1664
20210921,0.0002,0.0495,0.2625,-0.6257,-0.0400,0.1982
20210922,0.0002,0.9965,0.3035,0.4582,0.0109,-0.2365
20210923,0.0002,1.2816,0.6676,0.5963,-0.4954,-0.9229
20210924,0.0002,0.0849,-0.3633,0.3262,0.4979,0.0266
20210927,0.0002,-0.1018,1.8411,1.2885,-0.2820,-1.6946
20210928,0.0002,-2.1779,0.0032,1.4127,0.3995,-1.0480
20210929,0.0002,0.0337,-0.2833,0.4200,0.5815,0.1047
20210930,0.0002,-1.0221,-0.4674,-0.4326,-1.4400,-0.2858
20211001,0.0002,1.1043,0.4957,0.8664,0.0910,-0.3700
20211004,0.0002,-1.4343,0.4777,1.4344,0.4244,-0.9443
20211005,0.0002,1.0509,-0.4628,-0.4381,0.1977,0.5723
20211006,0.0002,0.3331,-1.1686,-0.6970,0.1595,0.6972
20211007,0.0002,1.0117,0.6162,-0.2619,0.1106,0.1508
20211008,0.0002,-0.2752,-0.3314,0.8556,-0.0356,-0.4424
20211011,0.0002,-0.7202,0.1815,0.0824,-0.1309,0.0089
20211012,0.0002,-0.0615,0.3907,-0.5694,-0.9134,-0.3037
20211013,0.0002,0.4271,-0.3886,-0.8605,-0.6376,0.3203
20211014,0.0002,1.6563,-0.3057,-0.1297,0.1429,0.3853
20211015,0.0002,0.6282,-0.9044,-0.0146,0.3366,0.2840
20211018,0.0002,0.4082,-0.1455,-0.4429,1.1091,0.8563
20211019,0.0002,0.7104,-0.5400,0.0514,-0.3594,0.0920
20211020,0.0002,0.3400,0.1601,0.5387,0.1920,-0.3383
20211021,0.0002,0.3662,0.1248,-0.8002,0.6307,1.0268
20211022,0.0002,-0.2544,0.1384,0.9274,0.3260,-0.5582
20211025,0.0002,0.5790,0.3888,-0.5160,0.0594,0.0600
20211026,0.0002,0.0389,-0.9147,-0.0701,-0.3231,-0.2111
20211027,0.0002,-0.7615,-0.7214,-0.8614,1.2252,1.5570
20211028,0.0002,1.1394,0.9361,-0.4383,0.0440,-0.1421
20211029,0.0002,0.2137,0.1181,-0.8012,0.5140,0.5274
20211101,0.0002,0.5129,1.8201,0.1134,-1.1677,-1.0984
20211102,0.0002,0.2405,-0.2397,-0.2614,0.3617,0.7793
20211103,0.0002,0.7967,1.5797,-0.5419,0.5744,0.3882
20211104,0.0002,0.3927,-0.3028,-0.8667,0.4558,0.6514
20211105,0.0002,0.3795,0.4673,1.4707,-0.0345,-1.5550
20211108,0.0002,0.1817,0.1823,-0.3673,-0.4561,-0.2268
20211109,0.0002,-0.3456,-0.1695,-0.2094,0.4003,-0.1400
20211110,0.0002,-1.0647,-0.1905,0.4325,0.9364,0.2853
20211111,0.0002,0.1948,1.0285,-0.1885,0.6468,0.0167
20211112,0.0002,0.7328,-0.1777,-0.6178,0.6753,0.8365
20211115,0.0002,-0.0557,-0.4638,0.5571,0.5724,0.2147
20211116,0.0002,0.4666,0.1081,-0.9728,0.8147,0.8098
20211117,0.0002,-0.4255,-0.6840,0.0105,0.8657,0.7217
20211118,0.0002,0.1009,-0.7016,-0.2753,1.5256,1.3224
20211119,0.0002,-0.2197,-0.5291,-0.8126,0.7706,1.3627
20211122,0.0002,-0.5892,0.6643,1.9441,1.5134,-0.9383
20211123,0.0002,-0.0305,-0.1011,1.5560,-0.1719,-0.7654
20211124,0.0002,0.3066,-0.2780,-0.3473,-0.6971,-0.0997
20211126,0.0002,-2.2249,-1.2249,-0.8785,0.1401,0.8187
20211129,0.0002,1.0962,-1.2817,-0.5000,0.6678,0.7799
20211130,0.0002,-1.9495,-0.0804,0.2565,0.1236,0.7118
20211201,0.0003,-1.6080,-0.3209,0.9879,1.7594,1.0958
20211202,0.0003,1.5125,1.0555,0.4746,-0.4202,-1.3552
20211203,0.0003,-1.2075,-0.8864,1.3073,0.7514,0.4106
20211206,0.0003,1.1918,0.8506,0.9507,-0.2424,-0.7512
20211207,0.0003,2.2192,0.1218,-0.8876,-0.4412,0.0710
20211208,0.0003,0.4670,0.1358,-0.0971,-0.7505,-0.1346
20211209,0.0003,-1.0720,-0.8081,1.0015,1.0024,0.1330
20211210,0.0003,0.7007,-0.7482,0.8007,1.3763,0.5347
20211213,0.0003,-1.0407,-0.7508,-0.4281,-0.7325,0.5751
20211214,0.0003,-0.7608,-0.3732,0.3922,0.6488,0.0958
20211215,0.0003,1.6239,0.1164,-0.8437,0.4163,1.2433
20211216,0.0003,-1.2006,-1.0127,1.3418,-0.5489,-0.7040
20211217,0.0003,-0.6500,0.9558,-0.8025,-1.9325,-0.2503
20211220,0.0003,-1.2688,-0.2505,0.2956,-0.0273,0.2343
20211221,0.0003,2.0592,0.6586,-0.2595,-0.2449,-0.9655
20211222,0.0003,0.9664,0.3514,0.1136,0.7098,0.3921
20211223,0.0003,0.7147,0.3168,-0.2721,-0.2107,-0.1308
20211227,0.0003,1.2234,0.2117,0.5047,1.6635,0.8675
20211228,0.0003,-0.2717,-0.5528,0.4655,0.4943,0.1027
20211229,0.0003,0.0598,0.1658,-0.0785,0.9210,0.4216
20211230,0.0003,-0.1486,-0.1074,-0.5167,-0.8715,-0.4149
20211231,0.0003,-0.3126,0.3196,0.4497,0.4943,-0.1255
20220103,0.0002,0.7296,0.4429,1.1197,-1.0782,-1.0953
